transaction_id,creator_id,buyer_id,product_id,product_name,category,quantity,unit_price,gross_amount,status,channel,created_at
trx_000033,cr_001,by_0143,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,2,258000,516000,COMPLETED,whatsapp,2026-08-03T12:27:21+08:00
trx_000034,cr_001,by_0082,pr_001_01,Hampers Spesial,Hampers,1,521000,521000,PENDING_PAYMENT,katalog,2026-08-03T21:09:40+08:00
trx_000035,cr_001,by_0272,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,CANCELLED,share_link,2026-08-04T18:49:59+08:00
trx_000036,cr_001,by_0081,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,whatsapp,2026-08-05T15:18:27+08:00
trx_000037,cr_001,by_0384,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,instagram_bio,2026-08-06T21:26:39+08:00
trx_000038,cr_001,by_0285,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,2,258000,516000,PAID_ESCROW,share_link,2026-08-07T14:44:46+08:00
trx_000039,cr_001,by_0050,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,PAID_ESCROW,katalog,2026-08-07T20:12:06+08:00
trx_000040,cr_001,by_0344,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,katalog,2026-08-09T19:47:47+08:00
trx_000041,cr_001,by_0378,pr_001_03,Bouquet Bunga Artificial,Bouquet,3,124000,372000,CANCELLED,instagram_bio,2026-08-09T21:01:11+08:00
trx_000042,cr_001,by_0117,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,share_link,2026-08-10T17:19:52+08:00
trx_000043,cr_001,by_0067,pr_001_01,Hampers Spesial,Hampers,1,521000,521000,PAID_ESCROW,katalog,2026-08-12T10:21:49+08:00
trx_000044,cr_001,by_0297,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,PAID_ESCROW,katalog,2026-08-13T14:13:27+08:00
trx_000045,cr_001,by_0008,pr_001_01,Hampers Spesial,Hampers,2,521000,1042000,REFUNDED,instagram_bio,2026-08-15T11:41:34+08:00
trx_000046,cr_001,by_0381,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,COMPLETED,katalog,2026-08-18T14:56:06+08:00
trx_000047,cr_001,by_0319,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,REFUNDED,whatsapp,2026-08-23T21:00:29+08:00
trx_000048,cr_001,by_0123,pr_001_02,Gift Box Anniversary Deluxe,Gift Box,1,258000,258000,COMPLETED,katalog,2026-08-24T12:45:20+08:00
trx_000049,cr_001,by_0021,pr_001_03,Bouquet Bunga Artificial,Bouquet,1,124000,124000,PAID_ESCROW,katalog,2026-08-26T18:37:38+08:00
trx_000050,cr_001,by_0006,pr_001_01,Hampers Spesial,Hampers,1,521000,521000,PAID_ESCROW,katalog,2026-09-01T18:35:55+08:00
